what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1430813731374
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1430813751749
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1430813755179
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430813757347
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1430813760485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430813760881
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430813769521
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430813776251
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1430813778225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430813778577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430813780039
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430813785582
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430813786273
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1430813788538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430813788906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430813802993
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1430813830104
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430813846498
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1430813849678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430813850082
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430813887998
